iso_code,countryname,gdp_per_capita,population,deaths_rate,diagnosed_rate,fatality_rate,human_development_index,aged_65_older,population_density
GUY,Guyana,7435.047,790329,0.00097680839245428170,0.03952278101904396777,0.02471507235241388142,0.682,5.305,3.952
HKG,Hong Kong,56054.92,7552800,0.000028201461709564664760,0.00161476538502277301,0.01746474253853722532,0.949,16.303,7039.714
HND,Honduras,4541.795,10062994,0.00096203972694408841,0.03608329687963641835,0.02666163599610031231,0.634,4.652,82.805
HRV,Croatia,22669.797,4081657,0.00210845742305147150,0.09802587527565398072,0.02150919251802013456,0.851,19.724,73.726
HTI,Haiti,1653.173,11541683,0.000052851910765527003298,0.00186627894735975680,0.02831940575673166202,0.51,4.8,398.448
HUN,Hungary,26777.561,9634162,0.00313166832776945208,0.08524467410865625884,0.03673740747460307990,0.854,18.577,108.043
IDN,Indonesia,11188.744,276361788,0.00051231757119765052,0.01523149430484940993,0.03363541100721408713,0.718,5.319,145.725
IND,India,6426.674,1393409033,0.00032106365712070133,0.02418355285629901611,0.01327611616988174908,0.645,5.989,450.419
IRL,Ireland,67335.293,4982904,0.00104537434395685729,0.07740887643029044910,0.01350457973509350022,0.955,13.928,69.874
IRN,Iran,19082.62,85028760,0.00140715917767117855,0.06524839360235289801,0.02156618883595680598,0.783,5.44,49.831
IRQ,Iraq,15663.986,41179351,0.00053769667229578242,0.04847609181601720726,0.01109199715060609734,0.674,3.186,88.125
ISL,Iceland,46482.958,343360,0.000096109040074557315937,0.03413909599254426841,0.00281521924586248081,0.949,14.431,3.404
ISR,Israel,33132.32,8789776,0.00087419747670475334,0.14451221510081713118,0.00604929815860119821,0.919,11.733,402.606
ITA,Italy,35220.084,60367471,0.00216576904472277793,0.07722846299126892362,0.02804366370683344176,0.892,23.021,205.859
JAM,Jamaica,8193.571,2973462,0.00061914361105001510,0.02792367953584071362,0.02217270865952065518,0.734,9.684,266.879
JOR,Jordan,8337.49,10269022,0.00104167660756788719,0.07992952006529930504,0.01303243916286345727,0.729,3.81,109.285
JPN,Japan,39002.223,126050796,0.000139023318821405935429,0.01346259645992239510,0.01032663492776246618,0.919,27.049,347.778
KAZ,Kazakhstan,24055.588,18994958,0.00083522164144822010,0.05033046137822468468,0.01659475432127820925,0.825,6.991,6.681
KEN,Kenya,2993.028,54985702,0.000092915063628722972383,0.00451962948477042268,0.02055811520431362292,0.601,2.686,87.324
KGZ,Kyrgyzstan,3393.474,6628347,0.00039255639452792680,0.02690218239932218395,0.01459199066830419982,0.697,4.489,32.333
KHM,Cambodia,3645.07,16946446,0.00013342030535488090,0.00648666983035853063,0.02056838236631916016,0.594,4.412,90.672
KIR,Kiribati,1981.132,121388,,0.000016476093188783075757,,0.63,3.895,143.701
KNA,Saint Kitts and Nevis,24654.385,53546,0.00020543084450752624,0.03496059462891719269,0.00587606837606837607,0.779,,212.865
KOR,South Korea,35938.374,51305184,0.000048026335896193257976,0.00596122996069948799,0.00805644744672085587,0.916,13.914,527.967
KWT,Kuwait,65530.537,4328553,0.00056531593814376305,0.09507403513368093217,0.00594606021874308986,0.806,2.345,232.128
LAO,Laos,6397.36,7379358,0.000002168210296884905164,0.00304105045452463480,0.00071298070495967203,0.613,4.029,29.715
LBN,Lebanon,13367.565,6769151,0.00122555989665469126,0.09195244721236090021,0.01332819227556069661,0.744,8.514,594.561
LBR,Liberia,752.788,5180208,0.000054631010955544642223,0.00114184604170334473,0.04784446322907861369,0.48,3.057,49.127
LBY,Libya,17881.509,6958538,0.00066350144240068819,0.04855761368264425660,0.01366421024593802717,0.724,4.424,3.623
LCA,Saint Lucia,12951.839,184401,0.00100867131956985049,0.06090530962413435936,0.01656130353485887276,0.759,9.721,293.187
LKA,Sri Lanka,11669.077,21497306,0.00059221374064266471,0.02393751105371063704,0.02473998818481437722,0.782,10.069,341.955
LSO,Lesotho,2851.153,2159067,0.00018665469853413535,0.00666723172555552931,0.02799583188607155262,0.527,4.506,73.562
LTU,Lithuania,29524.265,2689862,0.00183280777972996384,0.12143894370789282127,0.01509242195105524500,0.882,19.002,45.135
LUX,Luxembourg,94277.965,634814,0.00131534591234597851,0.12276036760373904797,0.01071474400102656230,0.916,14.312,231.447
LVA,Latvia,25063.846,1866934,0.00144032943853398138,0.08306453254373212979,0.01733988495963269623,0.866,19.754,31.212
MAR,Morocco,7485.013,37344787,0.00038021370961360685,0.02489501412874573364,0.01527268503031626365,0.686,6.769,80.08
MDA,Moldova,5189.972,4024025,0.00166823019240685632,0.07207783251843614292,0.02314484404036642843,0.75,10.864,123.655
MDG,Madagascar,1416.44,28427333,0.000033699960527426192250,0.00150904061242748308,0.02233204345190917992,0.528,2.929,43.951
MDV,Maldives,15183.616,543620,0.00042492917847025496,0.15541002906441999926,0.00273424553761659012,0.74,4.12,1454.433
MEX,Mexico,17336.469,130262220,0.00211631584353467951,0.02791144661898131323,0.07582250653018710839,0.779,6.857,66.444
MHL,Marshall Islands,3819.202,59618,,0.000067093830722265087725,,0.704,,295.15
MKD,North Macedonia,13111.214,2082661,0.00317238379169725654,0.09122896141042637280,0.03477386723088016253,0.774,13.26,82.6
MLI,Mali,2014.306,20855724,0.000026227811607019732329,0.00072713850643593097,0.03606989779096604022,0.434,2.519,15.196
MLT,Malta,36513.323,514564,0.00088813053381114886,0.07210570502405920352,0.01231706331024445463,0.895,19.426,1454.037
MMR,Myanmar,5591.597,54806014,0.00032082245572538809,0.00838294863041855224,0.03827083641682410608,0.583,5.732,81.721
MNE,Montenegro,16409.288,628051,0.00303478539163220821,0.20697363749122284655,0.01466266635895068851,0.829,14.762,46.28
MNG,Mongolia,11840.846,3329282,0.00037305340911343647,0.08978482447566772655,0.00415497174819934497,0.737,4.031,1.98
MOZ,Mozambique,1136.103,32163045,0.000059384924530622022884,0.00468052698368577975,0.01268765776537797263,0.456,3.158,37.728
MRT,Mauritania,3597.633,4775110,0.00016167166829664657,0.00751584780245900094,0.02151076931650366408,0.546,3.138,4.289
MUS,Mauritius,20292.745,1273428,0.000062037272621616612796,0.01208627421416837073,0.00513286985900851147,0.804,10.945,622.962
MWI,Malawi,1095.042,19647681,0.00011594243615824178,0.00313100563878251077,0.03703041435700700619,0.483,2.979,197.519
MYS,Malaysia,26808.164,32776195,0.00078395310987135633,0.06740239371897805709,0.01163093870434194552,0.81,6.293,96.254
NAM,Namibia,9541.808,2587344,0.00135041958085202432,0.04922924821747707301,0.02743124524035706154,0.646,3.552,3.078
NER,Niger,926,25130810,0.000007998150477441833351,0.00023835284258645066,0.03355592654424040067,0.394,2.553,16.955
NGA,Nigeria,5338.454,211400704,0.000012724650150644720653,0.00096854928165234492,0.01313784480737672892,0.539,2.751,209.588
NIC,Nicaragua,5321.444,6702379,0.000030287753050073712632,0.00204852635161335997,0.01478514202476329206,0.66,5.445,51.667
NLD,Netherlands,48472.545,17173094,0.00108110978720549716,0.11855638826643585600,0.00911895008791834890,0.944,18.779,508.544
NOR,Norway,64800.057,5465629,0.00015551732472145475,0.03432230764290807151,0.00453108591471963240,0.957,16.821,14.462
NPL,Nepal,2442.804,29674920,0.00037415433638911242,0.02670157156278770086,0.01401244625280961978,0.602,5.809,204.43
NZL,New Zealand,36085.843,4860642,0.000005554821770457482777,0.00086511205721384130,0.00642092746730083234,0.931,15.322,18.206
OMN,Oman,37960.709,5223376,0.00078397572757542249,0.05813730430281105553,0.01348489987585330273,0.813,2.355,14.98
OWID_KOS,Kosovo,9795.834,1932774,0.00152061234267431164,0.08272720969963379060,0.01838104232205287286,,,168.155
PAK,Pakistan,5034.708,225199929,0.000122726504056757495692,0.00551432234243732821,0.02225595393875948705,0.557,4.495,255.573
PAN,Panama,22267.037,4381583,0.00164689337164216677,0.10643573338676911975,0.01547312466629642098,0.815,7.918,55.133
PER,Peru,12236.706,33359415,0.00597474506072723398,0.06514964366131720236,0.09170802363535806868,0.777,7.151,25.129
PHL,Philippines,7599.188,111046910,0.00033683962930620942,0.02243068267275514465,0.01501691385056875984,0.718,4.803,351.873
PLW,Palau,13240.405,18174,,0.00027511830086937383,,0.826,,47.237
PNG,Papua New Guinea,3823.194,9119005,0.000024893066732609533606,0.00214091340009134769,0.01162731137632535983,0.555,3.808,18.22
POL,Poland,27216.445,37797000,0.00199941794322300712,0.07682236685451226288,0.02602650797012730507,0.88,16.763,124.027
PRT,Portugal,27936.896,10167923,0.00176584736135393630,0.10495506309400651441,0.01682479443390259330,0.864,21.502,112.371
PRY,Paraguay,8827.01,7219641,0.00224235526392517301,0.06369125556243032029,0.03520664248371130075,0.728,6.378,17.144
PSE,Palestine,4449.898,5222756,0.00077468677456882918,0.07638610725831342686,0.01014172344126774050,0.708,3.043,778.202
QAT,Qatar,116935.6,2930524,0.00020644772061242290,0.08066407236385028753,0.00255935157453000998,0.848,1.307,227.322
ROU,Romania,23313.199,19127772,0.00190560615214359519,0.06272351008784504541,0.03038105089263611669,0.828,17.85,85.129
RUS,Russia,24765.954,145912022,0.00137764522240669107,0.05026894219860787071,0.02740549456886807257,0.824,14.178,8.823
RWA,Rwanda,1854.211,13276517,0.000094753767121301467847,0.00730477729964869551,0.01297147924357097193,0.543,2.974,494.869
SAU,Saudi Arabia,49045.411,35340680,0.00024628841323936042,0.01547748939748754127,0.01591268499136173752,0.854,3.295,15.322
SDN,Sudan,4466.507,44909351,0.000064574524802195426961,0.00085062462826505776,0.07591424308264181566,0.51,3.548,23.258
SEN,Senegal,2470.58,17196308,0.00010787199205783009,0.00428853681848452586,0.02515356556876889907,0.512,3.008,82.328
SGP,Singapore,85535.383,5896684,0.000013566947118075175811,0.01518463597506666459,0.00089346541730419147,0.938,12.922,7915.731
SLB,Solomon Islands,2205.923,703995,,0.000028409292679635508775,,0.567,3.507,21.841
SLE,Sierra Leone,1390.3,8141343,0.000014862412749346145961,0.00078525127856669348,0.01892695135304239011,0.452,2.538,104.7
SLV,El Salvador,7292.458,6518500,0.00049045025696095728,0.01600797729539004372,0.03063786560355732740,0.673,8.273,307.811
SMR,San Marino,56861.47,34010,0.00267568362246398118,0.15960011761246692149,0.01676492262343404569,,,556.667
SRB,Serbia,14048.881,6804596,0.00118993104072600342,0.13487971953074069350,0.00882216425765034288,0.806,17.366,80.291
SSD,South Sudan,1569.888,11381377,0.000011246442324158140091,0.00105031227767958130,0.01070771289944788355,0.433,3.441,
STP,Sao Tome and Principe,3052.714,223364,0.00021937286223384252,0.01499346358410486918,0.01463123320394147507,0.625,2.886,212.841
SUR,Suriname,13767.119,591798,0.00145488832338061298,0.06839495909077083735,0.02127186480877557071,0.738,6.933,3.612
SVK,Slovakia,30155.152,5460726,0.00230665299815445785,0.07482686368076332707,0.03082653588149061817,0.86,15.07,113.128
SVN,Slovenia,31400.84,2078723,0.00218595743636838578,0.13948707932706762758,0.01567139728578572537,0.917,19.062,102.619
SWE,Sweden,46949.283,10160159,0.00145873701385972405,0.11312883981441629014,0.01289447515109965400,0.945,19.985,24.718
SWZ,Eswatini,7738.975,1172369,0.00103465717704920550,0.03907643412611558306,0.02647777874792630752,0.611,3.163,79.492
SYC,Seychelles,26382.287,98910,0.00111212213123041149,0.21609544029926195531,0.00514643959951342753,0.796,8.606,208.354
TCD,Chad,1768.153,16914985,0.000010286736878572461046,0.00029760593934904465,0.03456495828367103695,0.398,2.486,11.833
TGO,Togo,1429.813,8478242,0.000026774418564603369425,0.00297844765459631843,0.00898938697924916838,0.515,2.839,143.366
THA,Thailand,16277.671,69950844,0.00023400718367315196,0.02247186610071495349,0.01041334006817114801,0.777,11.373,135.132
TJK,Tajikistan,2896.913,9749625,0.000012821005936125748426,0.00179329974229778068,0.00714939373141157630,0.668,3.466,64.281
TLS,Timor,6570.102,1343875,0.000084085201376616128732,0.01443437819737698819,0.00582534281884730385,0.606,3.556,87.176
TTO,Trinidad and Tobago,28763.071,1403374,0.00104320017329664081,0.03566761248248863097,0.02924782738987114174,0.796,10.014,266.886
TUN,Tunisia,10849.297,11935764,0.00207728638066235224,0.05910589384977786089,0.03514516481117659900,0.74,8.001,74.228
TUR,Turkey,25129.341,85042736,0.00074517828306934998,0.08309537454204201521,0.00896774684723669944,0.82,8.153,104.914
TZA,Tanzania,2683.304,61498438,0.000000813028779690306931,0.000022228206836732991495,0.03657644476956839795,0.529,3.108,64.699
UGA,Uganda,1697.707,47123533,0.000066760698948442596611,0.00261535993067412836,0.02552639052294210718,0.544,2.168,213.759
UKR,Ukraine,7894.393,43466822,0.00136619143676986553,0.05760048434182742875,0.02371840189159287617,0.779,16.462,77.39
URY,Uruguay,20551.409,3485152,0.00173679655865798680,0.11149355896098649356,0.01557755062124908640,0.817,14.655,19.751
USA,United States,54225.446,332915074,0.00207388025932403409,0.12951183460079671850,0.01601305599381321863,0.926,15.413,35.608
